Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,29.66605027,28.65112223,27.37151454,29.2514316,29.67010526,27.82472985,28.58288523,29.1518761,26.18764272,
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,,,,86.6,83.6,86,82.5,82.5,20.1,16.6,,
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,14.33241109,14.12530574,13.49007452,13.62962937,13.71043098,13.60522852,13.94010799,13.73769484,12.96121957,
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.363841025,1.730726147,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.469677724,1.379456925,1.355470203,1.190809848
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.000442582,13.18455708,124.1756934,134.3929329,137.9776265,125.6477067,117.9869738,106.1217992,99.64002652,95.38505233,96.54706819,102.48887
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,11.88721333,11.96971682,12.37105526,14.48571488,15.9999584,14.311719,14.74391203,14.06645865,11.35004765,9.001534665
Brazil,BRA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,78.88888889,75.55555556,75.55555556,72.22223333,76.66666667,74.44443333,84.44443333,84.44443333,81.1111,
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,13.80406004,17.35636806,19.2827837,19.6063023,18.7983387,20.37726507,18.08620423,18.45609636,22.15658528,22.11576653,25.92340022,32.03921325
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,66.44295302,100,129.3069759,125.7597432,121.4837064,107.3474416,109.9276522,116.2341709,114.7659498,114.945085,115.6160679,
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.20E+11,2.43E+11,4.40E+11,4.84E+11,5.57E+11,5.43E+11,5.43E+11,5.43E+11,5.58E+11,5.69E+11,5.49E+11,6.06E+11
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.63833207,86.18216139,15.69875787,28.03853326,22.91170359,39.76211154,51.01108298,34.61661579,33.15452848,53.23467805,50.14141402,44.82421401
Brazil,BRA,Net migration,SM.POP.NETM,6457,-1761,43451,35308,24940,4764,82589,56362,67934,69186,56880,20376
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,573000000,1349591000,2784072055,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3213621677,3566219438,4102018148
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000,32994718700,92568388321,75211029129,87713983217,64738153494,74294627801,68885491315,78162724370,69174411753,37786286307,46441108227
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,174380004.9,255679992.7,1288520020,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444450012.2,272399993.9,612429992.7,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators: https://data.worldbank.org/country/BR,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,
