LocationCode,year,negative,neutral,positive,sentiment,tweets
BRG1665,2018,315,647,345,0.022953328232593728,1307
BRG1666,2018,404,1051,676,0.12763960581886438,2131
BRG1667,2018,145,447,346,0.21428571428571427,938
BRG1668,2018,1240,2768,1851,0.10428400750981397,5859
BRG1669,2018,2812,5927,3363,0.045529664518261445,12102
BRG1670,2018,1217,2230,1495,0.05625252934034804,4942
BRG1671,2018,2512,4355,2947,0.04432443448135317,9814
BRG1672,2018,1629,3238,1410,-0.03488927831766767,6277
BRG1673,2018,2071,3658,2121,0.006369426751592357,7850
BRG1674,2018,2159,3369,2482,0.04032459425717853,8010
BRG1675,2018,459,772,476,0.00995899238429994,1707
BRG1676,2018,1180,2320,1185,0.0010672358591248667,4685
BRG1677,2018,27171,71560,26641,-0.0042274192004594325,125372
BRG1678,2018,199,400,249,0.0589622641509434,848
BRG1679,2018,2280,4179,2599,0.035217487304040625,9058
BRG1680,2018,3305,4979,2676,-0.05739051094890511,10960
BRG1681,2018,973,2183,1386,0.09092910612065169,4542
BRG1682,2018,19,42,26,0.08045977011494253,87
BRG1683,2018,178,318,119,-0.0959349593495935,615
BRG1685,2018,4617,7860,3911,-0.04308030266048328,16388
BRG1686,2018,116,358,211,0.1386861313868613,685
BRG1687,2018,186,356,271,0.1045510455104551,813
BRG1688,2018,1267,2360,1204,-0.013040778306768785,4831
BRG1689,2018,16385,26097,15213,-0.020313718693127654,57695
BRG1690,2018,303,678,425,0.08677098150782361,1406
BRG1691,2018,77,229,164,0.1851063829787234,470
