Country Name,Country Code,Series Name,Series Code,2013,2014,2015,2016,2017,2018,2019
Brazil,BRA,"Population, total",SP.POP.TOTL,201721767,203459650,205188205,206859578,208504960,210166592,211782878
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154,0.766107802
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8515770,8515770,8515770,8515770,8515770
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.13476766,24.34269467,24.54950563,24.74947512,24.94633495,25.14513899,25.33851766
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,3.7,3.3,3.9,4.7,5.3,5.3,5.4
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2.57E+12,2.46E+12,2.08E+12,1.84E+12,1.81E+12,1.92E+12,1.95E+12
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12750,12080,10160,8890,8670,9140,9220
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3.09E+12,3.13E+12,2.96E+12,2.88E+12,2.96E+12,3.06E+12,3.15E+12
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,15320,15370,14420,13910,14210,14550,14890
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,3.5,3.6,3.6,3.3,3.2,3.1,3.1
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.918,74.306,74.332,74.442,74.827,75.109,75.338
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.748,1.767,1.777,1.709,1.736,1.749,1.703
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.0646,62.0762,61.0878,60.0994,59.111,57.8858,56.6606
Brazil,BRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,80.2,,,,,,
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98,98.4,98.2,98.6,98.7,98.8,99.1
