LocationCode,year,negative,neutral,positive,sentiment,tweets
BRG1665,2017,94,276,153,0.11281070745697896,523
BRG1666,2017,135,770,373,0.18622848200312989,1278
BRG1667,2017,76,358,257,0.2619392185238784,691
BRG1668,2017,389,1235,751,0.15242105263157896,2375
BRG1669,2017,1200,3901,1965,0.10826493065383527,7066
BRG1670,2017,371,1663,1048,0.21966255678131083,3082
BRG1671,2017,945,2384,1497,0.11438043928719437,4826
BRG1672,2017,2238,5384,1694,-0.058394160583941604,9316
BRG1673,2017,718,2963,1143,0.0881011608623549,4824
BRG1674,2017,784,2157,1700,0.1973712561947856,4641
BRG1675,2017,111,364,182,0.1080669710806697,657
BRG1676,2017,613,1438,689,0.027737226277372264,2740
BRG1677,2017,12261,29038,11996,-0.0049723238577727745,53295
BRG1678,2017,86,230,133,0.10467706013363029,449
BRG1679,2017,783,2356,1491,0.15291576673866092,4630
BRG1680,2017,1110,2264,1254,0.03111495246326707,4628
BRG1681,2017,337,1442,805,0.18111455108359134,2584
BRG1682,2017,8,47,36,0.3076923076923077,91
BRG1683,2017,97,139,45,-0.18505338078291814,281
BRG1685,2017,2782,5523,2512,-0.024960709993528705,10817
BRG1686,2017,47,175,82,0.11513157894736842,304
BRG1687,2017,45,178,120,0.21865889212827988,343
BRG1688,2017,532,1617,811,0.09425675675675675,2960
BRG1689,2017,4595,10219,5878,0.06200463947419293,20692
BRG1690,2017,96,360,239,0.20575539568345325,695
BRG1691,2017,41,308,110,0.1503267973856209,459
