id,text,question_id,question_tag,label_id,label_tag
1000048228446941184,"@<user> A moral do exército está baixa mesmo, agora tem cuidar de caminhoneiros, daqui a pouco campanha de vacinação depois dengue.... Exército é igual a bombril",22,related,76,not_related
1000242181859368832,"braço caindo de dor por conta de vacina antitetânica tudo bem, insônia já é demais pra mim jesus vai quebrando toda feitiçaria",22,related,75,related
1000242181859368832,"braço caindo de dor por conta de vacina antitetânica tudo bem, insônia já é demais pra mim jesus vai quebrando toda feitiçaria",23,sentiment,80,negative
1000682011139297280,Sobe para 70% a cobertura de vacinação contra influenza <url> <url>,22,related,75,related
1000682011139297280,Sobe para 70% a cobertura de vacinação contra influenza <url> <url>,23,sentiment,79,neutral
1001136104123363200,Tomei a vacina da gripe e já to esperando eu ficar arreada de gripe,22,related,75,related
1001136104123363200,Tomei a vacina da gripe e já to esperando eu ficar arreada de gripe,23,sentiment,80,negative
1001250816269971328,"@<user> vem aqui amanhã minha linda, aproveita e vai comigo no postinho pq eu preciso de apoio emocional pra tomar vacina e tirar sangue",22,related,75,related
1001250816269971328,"@<user> vem aqui amanhã minha linda, aproveita e vai comigo no postinho pq eu preciso de apoio emocional pra tomar vacina e tirar sangue",23,sentiment,79,neutral
1001437922212634624,"Disse todo meu medo de vacina pro enfermeiro hoje na clínica, certeza que ele me achou maluca. mas é aquele ditado: vamo fazer o que né",22,related,75,related
1001852951953051520,CAMPANHA DE VACINAÇÃO CONTRA A GRIPE É PRORROGADA ATÉ DIA 15 DE JUNHO EM PETRÓPOLIS <url> <url>,22,related,75,related
1001852951953051520,CAMPANHA DE VACINAÇÃO CONTRA A GRIPE É PRORROGADA ATÉ DIA 15 DE JUNHO EM PETRÓPOLIS <url> <url>,23,sentiment,79,neutral
1001866964707487744,Campanha de vacinação contra Influenza é prorrogada em Palmas #CampanhaContraInfluenzaÉProrrogada <url>,22,related,75,related
1001866964707487744,Campanha de vacinação contra Influenza é prorrogada em Palmas #CampanhaContraInfluenzaÉProrrogada <url>,23,sentiment,79,neutral
1002540862537072640,tenho que ir em caxias ainda e dps tomar vacina e minha avó tá enrolando aqui p ir no xv,22,related,77,related
1002540862537072640,tenho que ir em caxias ainda e dps tomar vacina e minha avó tá enrolando aqui p ir no xv,23,sentiment,79,positive
1003628301066305536,@<user> Caiu no golpe da vacina contra a gripe,22,related,75,related
1003628301066305536,@<user> Caiu no golpe da vacina contra a gripe,23,sentiment,79,neutral
1003708579931619329,"@<user> Eu sempre tive plano particular jdshkgjhgjds é raro eu ir no sus, só vou mesmo quando era vacina",23,sentiment,79,neutral
1004484182406463360,Um painel consultivo chave para os Centros de Controle e Prevenção de Doenças (CDC) recomendou o uso da nova vacina Shingrix (GlaxoSmithKline) sobre a vacina Zostavax existente (Merck) para a prevenção de herpes-zoster em adultos com 50 anos de idade e mais velhos  ...,22,related,75,related
1004484182406463360,Um painel consultivo chave para os Centros de Controle e Prevenção de Doenças (CDC) recomendou o uso da nova vacina Shingrix (GlaxoSmithKline) sobre a vacina Zostavax existente (Merck) para a prevenção de herpes-zoster em adultos com 50 anos de idade e mais velhos  ...,23,sentiment,79,neutral
1005045339370540928,"To achando muito tosca essa comoção porque a Kat Von D é anti vacinação e não vai vacinar o filho dela. ""Mas o filho dela pode por em risco outras crianças"" ué vacine sua criança então porra deixa ela ter o estilo de vida que acha correto.",22,related,75,related
